text,movement,style,year,corpus,var
"  ― Как там, телеграммы насчёт кабеля нет из Москвы? ",1,1,1960,0,из
" Писала мать, учительница из небольшого волжского городка, и сестра из Москвы. ",0,0,1946,0,из
"  ― Я это и говорю, ― прогнусил рыжий и, повернувшись к Воланду, добавил почтительно: ― Разрешите, мессир, его выкинуть ко всем чертям из Москвы? ",1,1,1934,0,из
" Через несколько секунд он, осёдланный, летел куда-то к чёрту из Москвы, рыдая от горя. ",1,0,1934,0,из
" Но если допустить первое, то несомненно, что, проваливаясь, он прихватил с собой всю головку администрации Варьете, а если второе, то не выходит ли, что сама администрация злосчастного театра, учинив предварительно какую-то пакость (вспомните только разбитое окно в кабинете и поведение Тузабубен!), бесследно скрылась из Москвы. ",1,0,1934,0,из
" Из Москвы телеграммой было приказано Римского под охраной доставить в Москву, вследствие чего Римский в пятницу вечером и выехал под такой охраной с вечерним поездом. ",1,0,1934,0,из
" Теперь стало ясно, что Воланд проник в Варьете под видом артиста, загипнотизировав Степу Лиходеева, а затем ухитрился выбросить этого же Степу вон из Москвы за бог знает какое количество километров. ",1,0,1934,0,из
" По его словам выходило, что Наташа вылетела из окна, оседлала его и повлекла вон из Москвы… ",1,0,1934,0,из
 Это он и его шайка заставили исчезнуть из Москвы Маргариту Николаевну и её домработницу Наташу. ,1,0,1934,0,из
"  Опомнившись, примерно через сутки после визита к Воланду, в поезде, где-то под Вяткой, Алоизий убедился в том, что, уехав в помрачении ума зачем-то из Москвы, он забыл надеть брюки, но зато непонятно для чего украл совсем ненужную ему домовую книгу застройщика. ",1,0,1934,0,из
